S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1,07-11-22,1,97.296875,0.23573777,55.976562,0.13562398,
1,09-11-22,2,-42.496094,-0.10064855,-126.03125,-0.3006095,
1,11-11-22,1,535.5,1.2871636,493.6289,1.1865195,
1,14-11-22,1,-95.94922,-0.22753687,-138.07031,-0.32742408,
1,16-11-22,1,150.30078,0.35540166,107.9375,0.25522932,
1,22-11-22,1,43.898438,0.10365262,1.5234375,0.0035971275,
1,23-11-22,2,119.69922,0.28349775,34.402344,0.08334392,
1,24-11-22,1,-40.847656,-0.09511965,-83.77344,-0.1950785,
1,25-11-22,1,-33.80078,-0.07849147,-76.84766,-0.17845403,
1,28-11-22,1,-76.19922,-0.17682792,-119.25391,-0.27674064,
1,01-12-22,1,-31.800781,-0.07348534,-75.05859,-0.17344563,
1,05-12-22,1,-108.40234,-0.2514648,-151.45703,-0.35134035,
1,06-12-22,1,57.30078,0.13272242,14.097656,0.032653574,
1,07-12-22,1,-196.5,-0.45461226,-239.625,-0.554384,
1,09-12-22,2,365.55078,0.84378076,278.57812,0.6433524,
1,13-12-22,1,-24.101562,-0.054911625,-67.98047,-0.1548828,
1,14-12-22,1,-8.050781,-0.018268168,-52.117188,-0.11826002,
1,21-12-22,1,-8.800781,-0.020361902,-52.015625,-0.12034581,
1,27-12-22,2,406.85156,0.96604043,321.95703,0.7655647,
1,28-12-22,2,180.40234,0.42236105,94.75781,0.22214624,
1,30-12-22,1,209.5,0.4887346,166.52734,0.3884853,
1,02-01-23,1,-92.80078,-0.21445546,-136.02734,-0.31434876,
1,03-01-23,1,-111.0,-0.25611857,-154.28125,-0.35598463,
1,11-01-23,1,-128.34766,-0.3037642,-170.53516,-0.40361062,
1,13-01-23,1,-137.44922,-0.3266732,-179.45703,-0.42651245,
1,16-01-23,1,263.75,0.62579554,221.47266,0.52548474,
1,23-01-23,1,-127.94922,-0.2981561,-170.80078,-0.39801177,
